,truelabel,predictres
2015-03-06 18:15,1027,974.0956808
2015-03-06 18:30,1061,1037.450045
2015-03-06 18:45,925,1000.46976
2015-03-06 19:00,872,1011.900538
2015-03-06 19:15,1033,1053.149191
2015-03-06 19:30,963,979.3524902
2015-03-06 19:45,1039,1024.045091
2015-03-06 20:00,1027,1038.188108
2015-03-06 20:15,1025,1103.409577
2015-03-06 20:30,924,1079.711819
2015-03-06 20:45,813,1037.502867
2015-03-06 21:00,1099,1018.183449
2015-03-06 21:15,1007,1013.050216
2015-03-06 21:30,1106,1014.157272
2015-03-06 21:45,1092,1075.326646
2015-03-06 22:00,1099,1073.579479
2015-03-06 22:15,952,1061.447544
2015-03-06 22:30,965,1061.511801
2015-03-06 22:45,776,1055.374632
2015-03-06 23:00,984,1043.312835
2015-03-06 23:15,1055,1031.277434
2015-03-06 23:30,989,1068.943426
2015-03-06 23:45,1058,1056.06994
2015-03-07 0:00,923,1061.702287
2015-03-07 0:15,621,1023.604913
2015-03-07 0:30,479,1037.185982
2015-03-07 0:45,1051,1024.131688
2015-03-07 1:00,1068,1074.772509
2015-03-07 1:15,872,1098.431215
2015-03-07 1:30,1070,975.0414537
2015-03-07 1:45,885,1039.372234
2015-03-07 2:00,747,989.9648061
2015-03-07 2:15,1011,1039.540089
2015-03-07 2:30,1019,1018.243856
2015-03-07 2:45,1185,1038.479829
2015-03-07 3:00,1142,991.8958957
2015-03-07 3:15,1011,1062.371218
2015-03-07 3:30,836,963.9855058
2015-03-07 3:45,821,1000.514379
2015-03-07 4:00,790,1006.461223
2015-03-07 4:15,1315,1031.63587
2015-03-07 4:30,1323,976.5601979
2015-03-07 4:45,1336,1061.170993
2015-03-07 5:00,971,1043.264335
2015-03-07 5:15,600,1014.039669
2015-03-07 5:30,962,995.503154
2015-03-07 5:45,1467,996.0404029
2015-03-07 6:00,1004,1013.153024
2015-03-07 6:15,1443,1006.216762
2015-03-07 6:30,1036,1062.306785
2015-03-07 6:45,1065,1018.014326
2015-03-07 7:00,1068,965.1273749
2015-03-07 7:15,887,1025.342972
2015-03-07 7:30,1047,966.6429553
2015-03-07 7:45,1061,987.3420511
2015-03-07 8:00,1504,998.2895583
2015-03-07 8:15,1375,1064.705344
2015-03-07 8:30,1068,1032.765188
2015-03-07 8:45,957,935.1155178
2015-03-07 9:00,987,972.9180331
2015-03-07 9:15,1319,880.6993937
2015-03-07 9:30,1064,904.7179406
2015-03-07 9:45,1040,1024.091385
2015-03-07 10:00,1050,1041.440524
2015-03-07 10:15,1073,985.6448925
2015-03-07 10:30,924,1010.45608
2015-03-07 10:45,929,915.7992075
2015-03-07 11:00,1081,888.6188901
2015-03-07 11:15,1096,1008.871404
2015-03-07 11:30,1018,1048.665197
2015-03-07 11:45,1301,1078.377409
2015-03-07 12:00,1157,1003.403953
2015-03-07 12:15,1067,1112.435724
2015-03-07 12:30,1018,846.8886216
2015-03-07 12:45,1024,994.7478765
2015-03-07 13:00,1415,970.4846201
2015-03-07 13:15,1059,1042.439236
2015-03-07 13:30,1081,1112.902197
2015-03-07 13:45,1131,1107.740203
2015-03-07 14:00,1042,909.6110352
2015-03-07 14:15,1014,954.1254674
2015-03-07 14:30,969,993.7701496
2015-03-07 14:45,1128,1025.94602
2015-03-07 15:00,586,1067.233065
2015-03-07 15:15,754,1073.372445
2015-03-07 15:30,641,946.6556587
2015-03-07 15:45,825,963.6089983
2015-03-07 16:00,733,1001.195656
2015-03-07 16:15,873,1034.58798
2015-03-07 16:30,902,1079.484148
2015-03-07 16:45,1045,1077.978204
2015-03-07 17:00,936,976.4001759
2015-03-07 17:15,851,1022.856075
2015-03-07 17:30,830,1021.152504
2015-03-07 17:45,1017,1020.515263
2015-03-07 18:00,932,1043.91327
2015-03-07 18:15,951,974.0956808
2015-03-07 18:30,1009,1037.450045
2015-03-07 18:45,994,1000.46976
2015-03-07 19:00,981,1011.900538
2015-03-07 19:15,822,1053.149191
2015-03-07 19:30,1060,979.3524902
2015-03-07 19:45,1073,1024.045091
2015-03-07 20:00,1063,1038.188108
2015-03-07 20:15,977,1103.409577
2015-03-07 20:30,999,1079.711819
2015-03-07 20:45,908,1037.502867
2015-03-07 21:00,944,1018.183449
2015-03-07 21:15,537,1013.050216
2015-03-07 21:30,956,1014.157272
2015-03-07 21:45,974,1075.326646
2015-03-07 22:00,691,1073.579479
2015-03-07 22:15,947,1061.447544
2015-03-07 22:30,941,1061.511801
2015-03-07 22:45,671,1055.374632
2015-03-07 23:00,527,1043.312835
2015-03-07 23:15,1015,1031.277434
2015-03-07 23:30,1034,1068.943426
2015-03-07 23:45,955,1056.06994
2015-03-08 0:00,990,1061.702287
2015-03-08 0:15,845,1023.604913
2015-03-08 0:30,570,1037.185982
2015-03-08 0:45,844,1024.131688
2015-03-08 1:00,1002,1074.772509
2015-03-08 1:15,993,1098.431215
2015-03-08 1:30,1194,975.0414537
2015-03-08 1:45,973,1039.372234
2015-03-08 2:00,803,989.9648061
2015-03-08 2:15,769,1039.540089
2015-03-08 2:30,777,1018.243856
2015-03-08 2:45,1077,1038.479829
2015-03-08 3:00,1165,991.8958957
2015-03-08 3:15,1216,1062.371218
2015-03-08 3:30,963,963.9855058
2015-03-08 3:45,1003,1000.514379
2015-03-08 4:00,895,1006.461223
2015-03-08 4:15,1296,1031.63587
2015-03-08 4:30,902,976.5601979
2015-03-08 4:45,1339,1061.170993
2015-03-08 5:00,935,1043.264335
2015-03-08 5:15,984,1014.039669
2015-03-08 5:30,1044,995.503154
2015-03-08 5:45,897,996.0404029
2015-03-08 6:00,1017,1013.153024
2015-03-08 6:15,1293,1006.216762
2015-03-08 6:30,1392,1062.306785
2015-03-08 6:45,1059,1018.014326
2015-03-08 7:00,984,965.1273749
2015-03-08 7:15,930,1025.342972
2015-03-08 7:30,910,966.6429553
2015-03-08 7:45,1510,987.3420511
2015-03-08 8:00,974,998.2895583
2015-03-08 8:15,982,1064.705344
2015-03-08 8:30,1025,1032.765188
2015-03-08 8:45,968,935.1155178
2015-03-08 9:00,959,972.9180331
2015-03-08 9:15,838,880.6993937
2015-03-08 9:30,940,904.7179406
2015-03-08 9:45,983,1024.091385
2015-03-08 10:00,992,1041.440524
2015-03-08 10:15,1000,985.6448925
2015-03-08 10:30,1030,1010.45608
2015-03-08 10:45,977,915.7992075
2015-03-08 11:00,899,888.6188901
2015-03-08 11:15,956,1008.871404
2015-03-08 11:30,1180,1048.665197
2015-03-08 11:45,1000,1078.377409
