 2, 4, 8, 6, 3, 3, 4, 4, 6, 7, 5, 7, 4, 4, 7, 5, 5, 5, 3, 4, 4, 4, 5, 3, 6, 4, 5, 4, 2, 5, 6, 5, 4, 11, 6, 4, 7, 6, 7, 4, 4, 9, 5, 6, 3, 9, 7, 2, 6, 2, 7, 7, 3, 6, 4, 6, 4, 4, 4, 8, 5, 3, X, 6, 4, 7, 4, 3, 5, 8, 5, 6, 7, 5, 5, , 4, 4, 11, 8, 5, 5, 5, 6, 4, 7, 10, 9, 5, 7
 3, 6, 9, 5, 2, 5, 2, 3, 3, 4, 9, 6, 3, 4, 5, 7, 5, 8, 2, 5, 3, 8, 8, 4, 4, 3, 7, 3, 2, 7, 7, 7, 5, 4, 8, 4, 7, 5, 6, 4, 10, 4, 4, 6, 8, 4, 6, 6, 6, 4, 9, 8, 6, 8, 7, 6, 4, 3, 8, 13, 7, 5, X, 5, 4, 6, 5, 5, 5, 3, 12, 6, 8, 6, 4, , 3, 6, 5, 9, 5, 3, 5, 3, 3, 2, 12, 6, 9, 3
 6, 4, 4, 5, 5, 5, 8, 9, 7, 5, 7, 3, 6, 9, 4, 6, 6, 7, 5, 6, 3, 6, 6, 5, 9, 2, 5, 4, 3, 7, 3, 6, 6, 6, 4, 3, 4, 8, 9, 3, 8, 5, 7, 6, 3, 8, 3, 5, 5, 6, 2, 5, 6, 3, 1, 9, 5, 10, 7, 7, 5, 3, X, 4, 6, 10, 5, 10, 6, 6, 2, 7, 6, 5, 7, , 4, 8, 5, 10, 6, 5, 4, 4, 8, 4, 10, 5, 4, 3
 3, 3, 4, 5, 2, 4, 3, 5, 5, 4, 6, 4, 3, 5, 3, 8, 9, 8, 4, 2, 6, 3, 8, 6, 11, 3, 3, 3, 2, 5, 5, 7, 6, 3, 4, 4, 8, 8, 8, 5, 6, 6, 5, 2, 8, 6, 6, 5, 8, 3, 5, 8, 13, 5, 4, 3, 2, 7, 7, 6, 5, 4, X, 7, 6, 6, 3, 5, 7, 4, 4, 6, 5, 5, 3, , 6, 3, 7, 13, 11, 3, 5, 5, 3, 6, 9, 8, 6, 4
 2, 3, 5, 5, 2, 4, 4, 2, 6, 6, 8, 4, 1, 5, 7, 4, 6, 5, 5, 7, 4, 4, 5, 8, 4, 5, 3, 6, 2, 5, 9, 5, 6, 7, 8, 4, 4, 3, 6, 7, 5, 5, 6, 3, 8, 5, 7, 4, 7, 14, 7, 5, 4, 4, 2, 5, 7, 3, 8, 9, 3, 4, X, 7, 8, 4, 8, 5, 8, 4, 3, 6, 10, 4, 4, , 7, 2, 8, 12, 7, 2, 5, 6, 6, 8, 4, 5, 3, 5
 4, 5, 10, 5, 3, 6, 3, 4, 3, 5, 5, 5, 5, 4, 4, 5, 8, 6, 3, 4, 3, 10, , 9, 4, 5, 5, 4, 7, 6, 4, 8, 10, 10, 3, 7, 7, 10, 8, 10, 2, 6, 6, 6, 8, 7, 6, 6, 3, 1, 7, 8, 3, 3, 5, 3, 6, 3, 12, 8, 4, 7, X, 9, 5, 8, 10, 5, 5, 4, 7, 6, 7, 5, 1, , 10, 7, 6, 4, 5, 5, 8, 5, 5, 2, 7, 11, 3, 5
 5, 3, 6, 7, 8, 6, 4, 5, 5, 10, 5, 5, 4, 6, 10, 9, 8, 4, 4, 8, 8, 2, 10, 9, 7, 4, 5, 6, 4, 7, 9, 6, 3, 11, 4, 4, 3, 6, 10, 6, 5, 10, 5, 8, 9, 9, 7, 5, 5, 4, 6, 8, 3, 6, 5, 5, 6, 9, 8, 6, 8, 6, X, 9, 9, 8, 7, 6, 6, 6, 7, 4, 8, 4, 7, , 5, 4, 5, 6, 10, 6, 2, 5, 9, 6, 5, 7, 7, 8
 , 12, 3, 3, 5, 5, 3, 7, 5, 8, 9, 5, 3, 2, 9, 6, 4, 9, 7, 6, 6, 3, 4, 8, 5, 4, 6, 12, 3, 5, 7, 7, 2, 4, 6, 7, 5, 6, 9, 4, 5, 6, 5, 8, 8, 7, 5, 10, 5, 6, 7, 6, 6, 3, 4, 10, 5, 3, 10, 7, 7, 3, X, 5, 3, 4, 2, 4, 3, 3, 7, 5, 3, 7, 6, , 3, 5, 8, 7, 7, 6, 2, 5, 4, 4, 4, 5, 3, 7
 2, 6, 4, 6, 2, 7, 5, 2, 3, 6, 8, 4, 6, 5, 5, 5, 5, 6, 5, 3, 3, 3, 4, 3, 6, 3, 5, 5, 4, 6, 5, 9, 3, 10, 6, 7, 5, 6, 8, 6, 3, 4, 4, 6, 6, 4, 6, 7, 4, 7, 5, 6, 4, 5, 6, 7, 5, 3, 8, 4, 5, 8, X, 4, 10, 9, 7, 8, 7, 2, 4, 8, 6, 7, 4, , 8, 2, 12, 5, 9, 8, 5, 4, 5, 4, 9, 8, 0, 8
 6, 3, 9, 2, 2, 6, 4, 7, 6, 6, 8, 4, 4, 8, 4, 5, 5, 7, 7, 8, 3, 3, 8, 8, 6, 5, 6, 5, 3, 8, 4, 6, 5, 6, 4, 6, 5, 7, 8, 3, 5, 3, 2, 9, 9, 9, 6, 6, 6, 7, 4, 5, 6, 4, 4, 2, 3, , 5, 6, 4, 4, X, 8, 6, 8, 6, 6, 3, 8, 8, 5, 7, 7, 5, , 2, 4, 7, 7, 7, 2, 4, 5, 7, 4, 4, 8, 6, 4
 3, 3, 6, 6, 6, 5, 4, 3, 4, 8, 6, 5, 2, 3, 8, 6, 12, 10, 4, 7, 7, 4, 7, 8, 8, 7, 2, 3, 5, 5, 10, 4, 4, 2, 8, 5, 5, 5, 4, 6, 2, 2, 3, 10, 3, 8, 12, 3, 6, 2, 5, 7, 9, 3, 3, 4, 3, 4, 6, 5, 5, 6, X, 10, 8, 7, 9, 3, 3, 2, 8, 4, 5, 5, 5, , 8, 4, 4, 8, 6, 5, 6, 4, 6, 5, 9, 7, 1, 6
 3, 3, 3, 9, 6, 5, 7, 7, 6, 5, 9, 4, 4, 5, 6, 8, 6, 8, 3, 7, 6, 3, 9, 3, 9, 6, 5, 3, 6, 3, 8, 12, 4, 12, 1, 5, 8, 6, 10, 3, 8, 5, 4, 7, 6, 6, 6, 5, 10, 2, 5, 7, 8, 10, 3, 3, 3, 5, 5, 6, 5, 4, X, 6, 6, 3, 10, 6, 7, 7, 6, 5, 9, 6, 5, , 5, 4, 4, 7, 7, 7, 5, 2, 9, 6, 8, 6, 6, 3
 3, 4, 5, 8, 5, 4, 5, 5, 5, 11, 10, 2, 1, 4, 2, 5, 3, 9, 6, 5, 5, 3, 5, 5, 10, 5, 4, 5, 6, 5, 5, 4, 5, 4, 5, 7, 2, 6, 7, 4, 7, 5, 4, 6, 4, 8, 7, 5, 8, 1, 4, 3, 9, 6, 6, 4, 4, 3, 6, 8, 2, 3, X, 3, 5, 4, 7, 5, 3, 5, 5, 3, 8, 9, 7, , 4, 12, 4, 3, 6, 5, 9, 5, 7, 5, 8, 7, 5, 7
 3, 3, 5, 6, 2, 9, 5, 2, 2, 6, 2, 6, 5, 3, 3, 5, 4, 4, 5, 6, 4, 7, 6, 6, 7, 9, 3, 4, 3, 5, 6, 7, 5, 4, 6, 5, 9, 4, 7, 5, 3, 8, 5, 7, 4, 5, 10, 6, 4, 5, 7, 5, 8, 2, 4, 5, 7, 3, 9, 6, 3, 4, X, 5, 7, 3, 12, 6, 5, 7, 3, 5, 3, 5, 6, , 8, 3, 2, 7, 6, 4, 2, 6, 4, 4, 6, 11, 6, 9
