 2, 5, 0, 8, 0, 8, 6, 4, 3, 5, 4, 5, 2, 4, 8, 4, 7, 6, 5, 9, 4, 4, 4, 4, 5, 2, 3, 2, 3, 5, 7, 5, 3, 3, 5, 4, 4, 8, 2, 2, 10, 8, 7, 4, 4, 2, 8, 3, 7, 7, 7, 6, 9, 10, 2, X, 8, 5, 8, 5, 3, 12, 2, 7, 6, 4, 4, 3, 7, 4, 5, 5, 2, X, 4, , 5, 4, 3, 16, 7, 5, 7, 5, 9, 9, 8, 9, 3, 5
 4, 4, 2, 5, 5, 3, 4, 2, 3, 6, 8, 2, 3, 4, 3, 2, 2, 4, 4, 2, 3, 4, 7, 7, 12, 4, 5, 3, 4, 7, 14, 3, 10, 4, 6, 6, 8, 7, 4, 0, 3, 4, 2, 10, 6, 7, 3, 2, 9, 5, 8, 7, 7, 7, 5, X, 4, 8, 8, 9, 4, 6, 6, 5, 5, 12, 3, 3, 3, 3, 5, 7, 5, X, 7, , 6, 1, 11, 7, 4, 5, 7, 3, 3, 7, 11, 3, 6, 3
 4, 5, 0, 2, 5, 3, 5, 4, 3, 9, 7, 5, 6, 6, 2, 6, 5, 3, 2, 2, 3, 3, 7, 5, 3, 4, 4, 7, 10, 5, 9, 4, 0, 5, 3, 4, 5, 12, 3, 1, 4, 4, 4, 5, 13, 5, 8, 5, 6, 6, 3, 7, 6, 3, 4, X, 3, 10, 8, 5, 4, 3, 8, 7, 2, 13, 8, 5, 8, 9, 9, 4, 7, X, 5, , 4, 6, 4, 5, 5, 5, 6, 5, 3, 2, 8, 8, 7, 5
 4, 2, 0, 6, 2, 11, 6, 5, 3, 4, 9, 4, 6, 4, 7, 6, 8, 4, 1, 6, 4, 4, 6, 7, 4, 2, 2, 1, 3, 5, 4, 7, 6, 2, 2, 2, 2, 0, 8, 4, 7, 6, 3, 8, 10, 8, 4, 2, 7, 9, 7, 8, 4, 6, X, X, 3, 2, 7, 10, 5, 5, 6, 6, 2, 4, 13, 7, 6, 4, 6, 7, 8, X, X, , 5, 6, 7, 6, 10, 2, 8, 2, 8, 3, 10, 10, 11, 7
 3, 8, 0, 4, 6, 4, 9, 4, 6, 14, 8, 4, 8, 3, 6, 8, 9, 7, 4, 4, 7, 4, 6, 5, 7, 4, 2, 4, 1, 3, 3, 7, 4, 5, 9, 4, 1, 3, 5, 1, 7, 7, 8, 5, 4, 6, 10, 5, 6, 6, 9, 4, 3, 2, 6, X, 6, 7, 7, 3, 4, 4, 6, 4, 7, 7, 9, 4, 8, 7, 5, 7, 6, X, 4, , 5, 7, 5, 11, 3, 3, 3, 10, 5, 3, 6, 12, 3, 7
 2, 2, 2, 5, 5, 6, 6, 4, 9, 5, 3, 0, 2, 7, 2, 7, 8, 7, 4, 4, 6, 5, , 8, 8, 4, 5, 1, 4, 2, 8, 4, 0, 4, 11, 5, 2, 9, 5, 2, 6, 5, 6, 6, 5, 5, 3, 4, 5, 7, 3, 13, 8, 5, 6, X, 10, 3, 6, 10, 1, 4, 3, 3, 5, 8, 5, 6, 3, 7, 7, 6, 11, X, 8, , 5, 12, 7, 3, 5, 5, 4, 7, 8, 7, 7, 3, 5, 8
 5, 5, 7, 9, 0, 0, 2, 4, 2, 4, 4, 3, 3, 0, 6, 1, 10, 6, 3, 4, 0, 6, 4, 5, 7, 5, 3, 3, 4, 3, 10, 7, 2, 4, 8, 6, 6, 9, 7, 1, 5, 10, 8, 7, 5, 5, 5, 3, 5, 2, 8, 9, 5, 3, 6, X, 7, 6, 3, 7, 3, 4, 3, 3, 6, 5, 2, 9, 5, 8, 4, 12, 8, X, 6, , 5, 9, 6, 15, 7, 4, 10, 7, 4, 10, 10, 10, 1, 3
 , 3, 9, 6, 4, 8, 3, 2, 6, 3, 3, 6, 2, 5, 5, 5, 7, 5, 5, 5, 5, 2, 7, 7, 12, 3, 3, 5, 10, 3, 2, 5, 2, 6, 5, 2, 5, 3, 5, 2, 6, 0, 3, 7, 0, 4, 4, 6, 4, 3, 6, 6, 8, 7, 3, X, 5, 4, 5, 9, 3, 4, 7, 4, 6, 13, 4, 8, 4, 2, 6, 3, 7, X, 7, , 7, 9, 5, 9, 2, 6, 4, 4, 6, 11, 6, 6, 2, 7
 4, 4, 14, 3, 3, 2, 5, 4, 6, 6, 4, 9, 3, 6, 3, 2, 6, 5, 5, 9, 3, 5, 4, 8, 8, 4, 5, 3, 4, 4, 8, 12, 2, 7, 2, 10, 9, 5, 4, 3, 4, 4, 3, 0, 0, 6, 5, 3, 3, 5, 2, 5, 9, 2, 5, X, 4, 8, 5, 7, 6, 8, 9, 9, 6, 7, 5, 5, 4, 11, 4, 5, 4, X, 4, , 8, 5, 10, 7, 8, 3, 7, 8, 5, 11, 5, 5, 4, 3
 2, 2, 6, 2, 2, 4, 2, 8, 3, 6, 5, 7, 2, 4, 5, 7, 4, 2, 3, 6, 4, 0, 12, 3, 12, 3, 5, 9, 5, 2, 7, 11, 6, 8, 2, 4, 6, 9, 8, 9, 7, 5, 3, 3, 5, 5, 5, 4, 2, 5, 4, 7, 7, 2, 5, X, 3, , 5, 6, 4, 7, 7, 5, 7, 7, 11, 3, 8, 3, 5, 9, 8, X, 5, , 7, 8, 7, 10, 5, 5, 5, 5, 6, 5, 7, 5, 6, 5
